  COMPLETE 2-DESCENT SWEEP  y^2 = x^3 - n^2 x
   n | #Sel2 | dimSel2 | rank>= | rank<= | RANK | dim Sha[2] | unk
  ----------------------------------------------------------------------
    1 |     4 |       2 |      0 |      0 |      0 |          0 |   0
    2 |     4 |       2 |      0 |      0 |      0 |          0 |   0
    3 |     4 |       2 |      0 |      0 |      0 |          0 |   0
    4 |     4 |       2 |      0 |      0 |      0 |          0 |   0
    5 |     8 |       3 |      1 |      1 |      1 |          0 |   0
    6 |     8 |       3 |      1 |      1 |      1 |          0 |   0
    7 |     8 |       3 |      1 |      1 |      1 |          0 |   0
    8 |     4 |       2 |      0 |      0 |      0 |          0 |   0
    9 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   10 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   11 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   12 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   13 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   14 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   15 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   16 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   17 |    16 |       4 |      0 |      2 |  [0,2] |        <=2 |   0
   18 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   19 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   20 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   21 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   22 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   23 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   24 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   25 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   26 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   27 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   28 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   29 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   30 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   31 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   32 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   33 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   34 |    16 |       4 |      2 |      2 |      2 |          0 |   0
   35 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   36 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   37 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   38 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   39 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   40 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   41 |    16 |       4 |      2 |      2 |      2 |          0 |   0
   42 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   43 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   44 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   45 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   46 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   47 |     8 |       3 |      0 |      1 |  [0,1] |        <=1 |   2
   48 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   49 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   50 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   51 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   52 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   53 |     8 |       3 |      0 |      1 |  [0,1] |        <=1 |   2
   54 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   55 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   56 |     8 |       3 |      1 |      1 |      1 |          0 |   0
   57 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   58 |     4 |       2 |      0 |      0 |      0 |          0 |   0
   59 |     4 |       2 |      0 |      0 |      0 |          0 |   1
   60 |     8 |       3 |      1 |      1 |      1 |          0 |   0

  exact ranks : 57/60
  still a gap : [17, 47, 53]
  non-power-of-2 (bug indicator): []
  inconclusive local tests      : [47, 53, 59]
